iter	Passed	Remaining
856	1395	232
857	1396	231
858	1397	229
859	1401	228
860	1403	226
861	1407	225
862	1410	223
863	1411	222
864	1413	220
865	1415	218
866	1416	217
867	1417	215
868	1418	213
869	1419	212
870	1421	210
871	1423	208
872	1426	207
873	1427	205
874	1428	204
875	1429	202
876	1431	200
877	1432	199
878	1433	197
879	1435	195
880	1436	194
881	1438	192
882	1439	190
883	1441	189
884	1442	187
885	1443	185
886	1444	184
887	1445	182
888	1446	180
889	1447	178
890	1448	177
891	1450	175
892	1453	174
893	1456	172
894	1457	171
895	1461	169
896	1464	168
897	1465	166
898	1467	164
899	1469	163
900	1470	161
901	1473	160
902	1477	158
903	1478	157
904	1480	155
905	1481	153
906	1483	152
907	1486	150
908	1487	148
909	1489	147
910	1491	145
911	1492	143
912	1493	142
913	1495	140
914	1497	139
915	1499	137
916	1500	135
917	1501	134
918	1502	132
919	1504	130
920	1506	129
921	1508	127
922	1509	125
923	1511	124
924	1513	122
925	1515	121
926	1516	119
927	1517	117
928	1519	116
929	1520	114
930	1521	112
931	1522	111
932	1523	109
933	1525	107
934	1526	106
935	1527	104
936	1528	102
937	1529	101
938	1530	99
939	1531	97
940	1533	96
941	1534	94
942	1535	92
943	1536	91
944	1537	89
945	1538	87
946	1539	86
947	1540	84
948	1543	82
949	1545	81
950	1546	79
951	1548	78
952	1549	76
953	1550	74
954	1551	73
955	1552	71
956	1553	69
957	1555	68
958	1558	66
959	1560	65
960	1562	63
961	1563	61
962	1565	60
963	1566	58
964	1567	56
965	1568	55
966	1569	53
967	1570	51
968	1572	50
969	1574	48
970	1575	47
971	1576	45
972	1577	43
973	1579	42
974	1580	40
975	1581	38
976	1583	37
977	1585	35
978	1587	34
979	1590	32
980	1592	30
981	1593	29
982	1594	27
983	1595	25
984	1597	24
985	1598	22
986	1599	21
987	1601	19
988	1603	17
989	1604	16
990	1607	14
991	1608	12
992	1609	11
993	1610	9
994	1612	8
995	1613	6
996	1614	4
997	1616	3
998	1618	1
999	1620	0
