iter	RMSE
190	925236889.3
191	924170891.6
192	923278272.4
193	922472617.7
194	921391621.1
195	920693257.7
196	920104741.3
197	918684782.4
198	917826681.1
199	916728719.1
200	915886080
201	914204680.6
202	913179815.1
203	912655609.8
204	911461358.7
205	910964467.8
206	910220772.2
207	909645386.7
208	908458576.8
209	907742008.6
210	906800397.2
211	905932801.8
212	905169638.2
213	904074474
214	903923530.4
215	903256775
216	902214813.3
217	902166485.3
218	901058901.1
219	900044473.4
220	899355530.9
221	898696152.8
222	898125949.9
223	897573747.7
224	896816949.7
225	896112619.1
226	896069488.3
227	895595148.4
228	895550698.3
229	894630402.9
230	894590469.6
231	894112658.6
232	893627647.8
233	893594245.5
234	892791962.9
235	891996856.7
236	891022639.2
237	890459704.4
238	889906303.5
239	889869527.5
240	889064572.8
241	888457632.4
242	887774157.7
243	887107347.1
244	886938041.1
245	886899538
246	886658674.8
247	886125540.2
248	885651095.4
249	885489144.8
250	884865584.1
251	884063208.9
252	884030332.1
253	882965502.3
254	882813522.1
255	882130293.7
256	881612817
257	880700557.8
258	880670326.7
259	880228188.5
260	880171158.6
261	879426120
262	878803276.3
263	877922033.9
264	877867627.9
265	876830630.1
266	876105096.9
267	875477409.7
268	875346404
269	874675245.8
270	873400962.4
271	872555171.4
272	872401731.2
273	871766079.7
274	870968769.6
275	870108290.9
276	869419106.8
277	868451618.1
278	867962559
279	867133145.9
280	866409368.7
281	866022241.9
282	865972287.3
283	865096918.3
284	864657950.6
285	864165335.3
286	864117462.9
287	864071820.5
288	863330847.5
289	863101418.1
290	862434885.2
291	861825997.6
292	861798887.8
293	860842294.4
294	859960743.3
295	859398644.6
296	859201188.8
297	858726135.9
298	858553329.2
299	857929249.2
300	857774277.4
301	857299869.7
302	857257486.6
303	856729022.5
304	856295845.7
305	855610613.9
306	855361954
307	855047024.2
308	854665460.1
309	854611853.4
310	854187657
311	853270836.5
312	853220857.9
313	852328264.5
314	851544533.9
315	851216649.3
316	850795002.5
317	850474775.8
318	850177604.2
319	849505352.3
320	848929762.6
321	848318401.6
322	847694635.5
323	847056483
324	847033963.3
325	846106012.2
326	845447378.9
327	844844641.1
328	844050489.8
329	843559389.4
330	843416487.8
331	843178959.9
332	842632698.1
333	842055411.9
334	841583070.8
335	841030402.7
336	840190491.9
337	839670173.4
338	838711775.1
339	838213820.6
340	837851643.9
341	837476273.8
342	837120137.5
343	836310529.5
344	836278905.4
345	835753281.8
346	835334626.4
347	834811127.5
348	834687554.5
349	834297268.7
350	833702402.4
351	833237185.2
352	832998744.3
353	832408847.9
354	831637865.7
355	831016541.5
356	830451521.2
357	829906928
358	829206590.9
359	828989599.9
360	828667287.7
361	828073000.3
362	827783951.6
363	827147597.5
364	826969000.5
365	826513076.8
366	826197778.7
367	826187458.7
368	825643602.4
369	825248141.6
370	824969982.7
371	824566497.1
372	823971672.5
373	823505143.7
374	823477503.4
375	822761279.7
376	822200802.6
377	821632976.4
378	821388538.4
379	820972678.9
380	820378230.4
381	819901975.5
382	819639940.8
383	819187585.8
384	819031591.5
385	818603332.9
386	818390224.7
387	818273125.4
388	817688929.5
389	817028108.9
390	816699174.9
391	816432684.3
392	815773146
393	815209518.1
394	814770969.2
395	814195929.3
396	814060483
397	813511452.4
398	813044956.8
399	812740326.2
400	812171685.7
401	811764189.5
402	811524627.5
403	810972567
404	810626887.5
405	810235251.5
406	809385086.1
407	809095175.1
408	808553106.4
409	808156346.1
410	807490530.1
411	806870001.3
412	806591801.3
413	805988142.7
414	805653503.2
415	805154764.6
416	804702398.1
417	803976486.4
418	803404193.5
419	802870954.2
420	802518526
421	802257836.3
422	801931948.5
423	801485928.1
424	801161072.4
425	800707370.2
426	800397352.7
427	799916471.7
428	799555864.3
429	798796311.3
430	798301391.3
431	797826237.2
432	797550857.5
433	797252174.6
434	796904069.4
435	796259457.4
436	795816978.8
437	795270359.6
438	794883513.1
439	794575732.7
440	794326149.1
441	793852790.5
442	793517683
443	793129096.4
444	792776131.3
445	792487343.9
446	792307656.4
447	791989599.9
448	791459350.2
449	791263334.6
450	790752911.8
451	790097146.4
452	789650529.3
453	789186157.8
454	788518234.2
455	787940003.6
456	787659476.6
457	787514566.9
458	787156033.7
459	786476248.1
460	786047943.8
461	785706892.3
462	785379719.5
463	784778299.8
464	784433209.3
465	784170098
466	783519448
467	783055446.9
468	782562183.8
469	782163785.7
470	781832703.6
471	781666991.7
472	781502467.1
473	781028633.2
474	780540252.1
475	780200292.6
476	780016910.4
477	779708456.2
478	779395914.3
479	778826636.3
480	778548118.2
481	778170955.9
482	777814907.3
483	777416764.6
484	776990750.2
485	776597032.6
486	776178533.8
487	775885920.5
488	775598354.4
489	775322680.3
490	774920795.3
491	774500330.6
492	774095722.9
493	773528968.7
494	773078819.6
495	772654230.7
496	772508432.3
497	772152305.8
498	771823308.9
499	771459031.6
500	771037923.9
501	770859966.7
502	770560274.8
503	770438698.2
504	770141558.2
505	769925222.7
506	769588210.1
507	769158454.7
508	768825999
509	768552799.2
510	768171253.9
511	767712909
512	767394048.1
513	767286230
514	767004482.9
515	766893012.2
516	766627006.1
517	766329707.9
518	766039797.5
519	765816929.3
520	765382215
521	765135094.6
522	764784342
523	764534020.5
524	764224732.6
525	763751342.4
526	763413763.9
527	763003791.1
528	762632592.1
529	762276403.3
530	761783692.6
531	761474176.1
532	761258819.5
533	760952092
534	760556125.2
535	760144913.6
536	759764533.7
537	759461780
538	759196739.8
539	758820126.9
540	758550835.6
541	758214390.2
542	757902369.5
543	757410264
544	757015640.5
545	756620836.8
546	756236150.1
547	755991785.2
548	755687833.8
549	755406052.6
550	755012982.4
551	754654453.4
552	754404869.8
553	754258590.4
554	754160612.7
555	753805332.4
556	753668985.6
557	753093357.9
558	752767885.2
559	752462684.7
560	752079146.1
561	751638297.6
562	751291795.6
563	750800967.8
564	750405023.5
565	750287056
566	749981728.9
567	749690293.3
568	749504936.3
569	749185669.2
570	748917582.5
571	748497625.9
572	748103825
573	747537239.6
574	747335665
575	747123918.5
576	746723817.2
577	746340827
578	746247243
579	745856222.4
580	745524534.1
581	745257533.2
582	745055364.5
583	744867119.2
584	744376639.1
585	744121978.5
586	743663277.2
587	743390151.1
588	743059486.7
589	742806487.6
590	742701704.1
591	742365839.9
592	742014363.1
593	741679170.8
594	741406708
595	741115603
596	740818151.2
597	740584674.8
598	740188113.8
599	739983989.9
600	739742384.9
601	739473561.1
602	739388790.5
603	739100205.3
604	738775097.2
605	738688909.9
606	738433623.7
607	738049008.9
608	737820759.6
609	737681731.6
610	737399858.1
611	736948652.7
612	736702032.7
613	736388781.4
614	736206112.2
615	736127825.1
616	735905498.4
617	735571944.9
618	735210098.1
619	734925725.6
620	734564419.8
621	734101107.7
622	733780195.3
623	733575042.9
624	733220830.4
625	732830437.6
626	732624124
627	732308918.9
628	731897031.4
629	731581629.7
630	731335908.6
631	731178425.6
632	730836358.5
633	730592947.6
634	730435191.7
635	729999485.1
636	729753179.8
637	729345100.7
638	728971448.1
639	728680187
640	728457534.6
641	728299756.4
642	728052142.4
643	727905523.2
644	727549983.1
645	727260847.4
646	727091467.8
647	726771060.4
648	726595048.4
649	726318808.1
650	726156067.8
651	725795469.9
652	725576527.1
653	725430625.8
654	725183073.5
655	725087217.8
656	724917106.6
657	724509641.8
658	724199698.4
659	723868361.6
660	723536125.4
661	723401831.3
662	723027298.9
663	722828068.4
664	722628733.2
665	722497507.5
666	722042409.4
667	721824181.7
668	721474106.2
669	721359754.9
670	721106942.4
671	720821394.5
672	720734717.6
673	720637681.1
674	719967608.8
675	719500563.3
676	719160351.5
677	718907333
678	718703532
679	718456548.3
680	718286712
681	718066362.1
682	717919285.9
683	717550310.6
684	717249122.3
685	716968579
686	716757646.1
687	716479396.3
688	716251468.4
689	715881635.9
690	715613090.4
691	715362332.1
692	715123059.4
693	714841318.8
694	714585675.1
695	714445602
696	714179152
697	713863813.4
698	713598215.7
699	713305417.3
700	713050119.2
701	712651920.7
702	712423118.3
703	712347149.3
704	712222471.7
705	711895382.6
706	711784924.5
707	711480900.6
708	711111769.6
709	710781186.6
710	710724453.8
711	710574308.6
712	710404501.2
713	709929131.7
714	709622106.2
715	709420370.6
716	709199776.6
717	709098395.9
718	708896300.2
719	708611202.2
720	708301436.8
721	708050654.6
722	707835876.9
723	707587295.5
724	707301189.5
725	706907769.2
726	706624022.2
727	706365296.6
728	706195603.6
729	706074216.9
730	705786146.1
731	705629303.4
732	705209290.3
733	705044965.1
734	704792004.2
735	704608033.2
736	704498531.1
737	704266635.7
738	704075024.8
739	703650827.2
740	703559977.2
741	703390172.9
742	703314209.1
743	703135592.2
744	702851419.1
745	702704755.5
746	702342509.3
747	702186582.8
748	702029138.2
749	701836958.1
750	701499893.7
751	701190569.5
752	700926968.5
753	700809546.8
754	700468471.3
755	700135361.4
756	699994113.1
757	699810198
758	699745824.2
759	699424530.6
760	698955105.4
761	698627730.2
762	698256305.7
763	697947836.7
764	697635705.9
765	697471729.8
766	697206023.9
767	696967201.8
768	696625098.6
769	696466622.9
770	696210091.7
771	696049035.9
772	695811092.7
773	695602460.6
774	695316511.4
775	695191057.5
776	694875281.4
777	694669837.8
778	694135027.8
779	693850258.4
780	693632038
781	693408323.1
782	693132559.1
783	692802476.3
784	692536920.9
785	692340124.8
786	692291017.9
787	692192558.1
788	691861789.3
789	691800646.1
790	691574117.7
791	691276809.9
792	690995168.6
793	690785790.1
794	690547491.2
795	690274976.7
796	690145135
797	689977391.7
798	689738496.6
799	689352313.9
800	689178407.8
801	688888446.4
802	688554424.9
803	688432389.1
804	688278750.6
805	688130785.4
806	687915781.5
807	687639037.1
808	687326178.2
809	687082102.2
810	686912926.4
811	686666909.3
812	686459903.4
813	686173522.5
814	685706478.2
815	685464836.6
816	685092461
817	684942699
818	684813905.3
819	684451497.6
820	684248764
821	683891250.3
822	683653145.9
823	683439518.5
824	683155441
825	682927299.5
826	682671159
827	682348280.9
828	682067521.4
829	681987405
830	681761583.3
831	681501904.2
832	681258007.8
833	681070394
834	680846341.8
835	680695076.6
836	680590984.4
837	680355525.3
838	680123436.4
839	679981466.1
840	679778241.1
841	679507838.4
842	679228776
843	678992695.3
844	678773701.3
845	678659586.8
846	678392994.7
847	678218333
848	678147015.8
849	678079534.4
850	677938449.1
851	677744178.1
852	677488954.3
853	677196608.5
854	677069929
855	676890656.2
856	676598303.7
857	676520346
858	676126239.9
859	675885467.3
860	675560034
861	675299068.8
862	675037757.3
863	674768276
864	674652670.4
865	674453111.4
866	674158733.6
867	673956167.5
868	673786477.7
869	673574909.4
870	673404428.6
871	673238762.5
872	673031499.8
873	672813052.2
874	672718910.7
875	672537268.4
876	672262607.1
877	672096429.9
878	671699556.8
879	671573235.7
880	671321202.3
881	671176367.1
882	670907013.4
883	670759131
884	670621315.9
885	670392461.9
886	670171160.1
887	670050637.9
888	669818265.5
889	669396121.3
890	669278588.7
891	669053641.8
892	668825281.1
893	668673745.3
894	668642959
895	668551918.2
896	668310072.6
897	668222475
898	667853275.7
899	667625188.3
900	667469420.2
901	667177191.2
902	667003672.8
903	666780161.6
904	666553000.9
905	666431399.5
906	666195533.9
907	665825160.8
908	665637875
909	665381781.2
910	665168461.6
911	665127041.9
912	664814672.4
913	664730850.1
914	664632751.9
915	664438951
916	664065817
917	663831745.4
918	663597487.8
919	663331800.7
920	663098690
921	662951500.7
922	662606263.9
923	662431472.3
924	662299163.1
925	662117326.8
926	661988627.2
927	661751978.6
928	661374924.5
929	661159631
930	660936083.7
931	660643046.6
932	660418271.7
933	660252446.1
934	660062286.3
935	659821092
936	659625183.5
937	659553521.4
938	659257141.3
939	659091696.7
940	658919503.9
941	658710065.5
942	658332666.4
943	658133051.9
944	657939100.4
945	657771878.3
946	657601664.2
947	657260403.3
948	657228114.6
949	656860306.7
950	656725281.8
951	656556155.2
952	656391180.1
953	656234031.7
954	656060240.7
955	655839965.6
956	655603475.4
957	655558619.6
958	655315581.8
959	654939219.4
960	654688553.8
961	654471131.4
962	654241150.6
963	653951358.4
964	653751515.9
965	653621190.1
966	653438539.2
967	653278871.3
968	653090228.3
969	652789378.3
970	652590534.8
971	652228668.6
972	652026038.4
973	651819866
974	651550597.1
975	651467478.7
976	651139670.8
977	650971962.8
978	650913105.5
979	650761699.9
980	650647402.5
981	650428275
982	650357392.7
983	650243944.5
984	650102997
985	650012422.8
986	649806152
987	649675141.1
988	649330329.7
989	649092289.4
990	648930698.2
991	648737557.5
992	648501331.3
993	648323101.2
994	648206402.1
995	648033579.5
996	647907677.6
997	647754357.7
998	647653926.6
999	647522190.4
